reviewContent,sentiment,corpus
"Good product , low price",positif,good produk low price
flasdis nya gk bisa masuk vedio/film,positif,flasdis nya masuk vediofilm
"Barang bagus, dikemas dengan baik, mantap lah pokoknya😂",positif,barang bagus kemas mantap pokok
"Product bagus. Frameless Design dan Feature bagus, bisa multi screen dr HP android. Pelayanan personel distributor lokal dari Coocaa juga oke bangget so lgs pesan di Lazada. Untuk Factory Coocaa: update firmware sering ditingkatkan walapun product sudah tidak diproduksi lagi.  ""SMART TV :for SMART PEOPLE""",positif,produk bagus frameless design feature bagus multi screen handphone android layan personel distributor lokal coocaa oke banget sok langsung pesan lazada factory coocaa firmware tingkat walapun produk produksi pintar televisi for pintar people
pengirimannya cepet beud cuman 1 hari. bagus . makasihh,positif,kirim cepat banget 1 bagus makasihh
"memuaskan tv nya, cuma harus nya lebih aman packing pake kayu",positif,muas televisi nya nya aman packing pakai kayu
tank you,positif,tank
"Alhmdulilahh mendarat dengan aman.. kwalitas bagus dua""ny gak mengecewakan.. makasih lazada sama coocaa",positif,alhmdulilahh darat aman kualitas bagus duany kecewa terima kasih lazada coocaa
berfungsi baik,positif,fungsi
"Tv bagus,pengiriman cepat, kurir baik dan ramah .puas banget.makasih lazada",positif,televisi baguspengiriman cepat kurir ramah puas bangetmakasih lazada
"sering2 bikin flash sale begini untuk barang2 yg lain ya, mantap produknya, pengirimanny juga cepat, sayang ongkirnya ga gratis lagi 😀",positif,bikin flash sale barang barang mantap produk pengirimanny cepat sayang ongkirnya gratis
"Barang sesuai pesanan, hrg murah, pokok e mantabs.....",positif,barang sesuai pesan harga murah pokok e mantap
Barang sudah tiba bosku .sesuai ke inginan saya jam 1 tiba ..terimakasih buat kurirnya .  Karna masih di pabrik jadi belum saya coba ..next time pasti order kembali,positif,barang bos sesuai jam 1 terima kasih kurir pabrik coba next time order
Tv nya sampai dengan selamat meski sedikit lama. dan packing tanpa menggunakan kayu alhamdulillah baik-baik saja,positif,televisi nya selamat packing kayu alhamdulillah baikbaik
"speed kenceng,",positif,speed kencang
sesuai desktipsi..barang nya bagus..,positif,sesuai desktipsibarang nya bagus
Biar bintang yg bicara,positif,biar bintang bicara
diterima dengan kondisi sempurna...dan hidup...semoga awet apa ada garansi...thanks lasada.,positif,terima kondisi sempurnadan hidupsemoga awet garansithanks lasada
Mantap banget....,positif,mantap banget
"Alhamdulillah barang cepat sampai,,packing rapih,,udh di coba,, Alhamdulillah barang berfungsi semua... makasih lazada & ekspedisi nya...",positif,alhamdulillah barang cepat sampaipacking rapihudh coba alhamdulillah barang fungsi terima kasih lazada ekspedisi nya
terima kasih ASUS paket diterima dengan selamat dan sesuai yang di harapkan!!! good LAZADA,positif,terima kasih asus paket terima selamat sesuai harap good lazada
"pesanan sudah sampai, terimakasih banyak ..",positif,pesan terima kasih
"Barang sesuai orderan, packaging rapi dan aman, barang real ORI dan tersegel dari ASUS 👍🏻",positif,barang sesuai order packaging rapi aman barang real orisinal segel asus
"Bagusssss, langsung dicoba.. semua berfungsi dengan baik..",positif,bagus langsung coba fungsi
barang original dan sesuai dgn deskripsi,positif,barang original sesuai deskripsi
bagus bngt,positif,bagus banget
alhamdulilah barangnya sesuai pesanan dan masih baru juga responnya juga cepat terimakasih lazada...,positif,alhamdulillah barang sesuai pesan responnya cepat terima kasih lazada
Mantap ..dan udah saya sebar info ke teman dan tetangga,positif,mantap sebar info teman tetangga
"produknya bagus. fungsi dan fitur2 sudah dicoba dan berjalan dengan baik, utk fitur USB nya masih belum bisa. produk , fitur dan harga bagus.",positif,produk bagus fungsi fitur2 coba jalan fitur usb nya produk fitur harga bagus
"TV datang dgn packing kayu, telah diterima dgn baik. Pengiriman telat 3 hari dari jadwal krna kesalahan kurir. Kualitas gambar bagus, sistem operasi bagus, suara agak kurang. Harga sangat terjangkau.",positif,televisi packing kayu terima kirim telat 3 jadwal salah kurir kualitas gambar bagus sistem operasi bagus suara harga jangkau
"Alhamdulillah, sampi dengan slamat, paking Ok, cepat",positif,alhamdulillah sampi selamat paking oke cepat
"barang bagus, pengirimannya pun cepat. mohon dipertahankan untuk seevicenya yg unggul :-)",positif,barang bagus kirim cepat mohon tahan seevicenya unggul
bagus real capacity,positif,bagus real capacity
Mantab.. jadi berasa punya bioskop. sendiri 😂😂😂😂,positif,mantap asa bioskop
barang sampai dg cepat. sejauh ini gak ada masalah,positif,barang cepat
sangat bagus gambarya tajam dan halus untuk di malang,positif,bagus gambarya tajam halus malang
"barang ok setelah ganti antena, sudah diterima oleh bapak.",positif,barang oke ganti antena terima
"barang original , pengiriiman cepat",positif,barang original pengiriiman cepat
Telah diterima dan dicoba hasil nya baik X. Trims.,positif,terima coba hasil nya x terima kasih
"brangnya udah d trima ok puaslah , pengirimnya jga baik c ....",positif,barang terima oke puas kirim c
Pengiriman aman dan cepat. Kurir lgs bertemu saya. Produk ok. Tp ternyata kosongan ya tidak ada aplikasi apapun yg diinstal. Jadi saya harus instal dulu.,positif,kirim aman cepat kurir langsung temu produk oke nyata kosong aplikasi diinstal instal
Pengiriman cepat dan barang bagus,positif,kirim cepat barang bagus
mntap tvnya.... tipis bgt kga makan tepat laah pkoknya,positif,mntap televisi tipis banget makan pokok
ko 2gb doang ya,positif,2gb doang
Mantaplah pokoknya.. Recommended banget,positif,mantap pokok recommended banget
"pengiriman sangat cepat,cma 2hr sdh sampai ke jepara jawa tengah. cma mau kirim kartu garansinya gmn,kog ga ada. apa sdh dikirim dr pihak penjual? tks",positif,kirim cepatcma 2hr jepara jawa kirim kartu garansi gmnkog kirim jual tks
bagus dan pengiriman cepat,positif,bagus kirim cepat
"Bagus, packing'a sangat rapih,  alhamdulillah tidak prnh mengecewakan blnja d lazada,  cma masih blum ngerti cara menghubungkan hp ke led",positif,bagus packinga rapi alhamdulillah kecewa belanja lazada erti hubung handphone led
alhamdulillah cepet sampe tv led coocaa dari jakarta ke pemalang cuma 2 hari  semoga tv nya awet trimakasih lazada & seller coocaa. semoga banyak promonya,positif,alhamdulillah cepat televisi led coocaa jakarta malang 2 moga televisi nya awet terima kasih lazada seller coocaa moga promonya
100% Original dan bergaransi,positif,100 original garansi
"Kualitas barang baik, barang sesuai pesanan, harga terjangkau",positif,kualitas barang barang sesuai pesan harga jangkau
Barang ok banget,positif,barang oke banget
barang sudah sampai gan cepet banget pngirimannya 24 jam udh sampai,positif,barang juragan cepat banget pngirimannya 24 jam
respon pembeli cepat dan ramah.,positif,respon beli cepat ramah
"ESEL seller paling top, barang yg dikirim masih tersegel pabrik dan sesuai spesifikasimya. 5 stars",positif,esel seller top barang kirim segel pabrik sesuai spesifikasimya 5 stars
"Susuai pesanan, mantap deh pokoknya",positif,susuai pesan mantap deh pokok
"alhmdlh..brgnya sdh smpai dgn waktu yg cepat..smga ga ad kendala ke depannya dgn brgnya, lg di charge blm di test..trims, lazada..T.O.P",positif,alhmdlhbrgnya cepatsmga kendala brgnya charge testtrims lazadatop
tvnya bagus bangatttt.....semoga awet makasih lazada,positif,televisi bagus bangatsemoga awet terima kasih lazada
"Mantaaaaffff ... TV murah tapi tidak murahan ... Recommended seller ,,👍 Pengiriman cepat barang bagus Maturnuwun Lazada",positif,mantaf televisi murah murah recommended seller kirim cepat barang bagus maturnuwun lazada
"produk baik, cepat bootingnya",positif,produk cepat bootingnya
nice product,positif,nice produk
Boleh kredit bang,positif,kredit bang
Barang oke... Gak mengecewakan..... Ship.... Trm,positif,barang oke kecewa ship trm
Alhamdulillah barang slamat aampai tujuan kutir ny juga ramah makasih lazada pertahankan packing rapih,positif,alhamdulillah barang selamat aampai tuju tir nya ramah terima kasih lazada tahan packing rapi
packaging rapih dan aman,positif,packaging rapi aman
"barang ok aja sih, cuma pengirimannya lebih 4 hari dari estimasi, bikin was was aja",positif,barang oke sih kirim 4 estimasi bikin was was
Bagus produknya,positif,bagus produk
barangnya sesuai dengan gambar dan memang masih baru.,positif,barang sesuai gambar
"Pengiriman barang cepat, pesan tanggal 21, tanggal 22 udah sampe, flash disknya jg bagus, udah saya test copy 3 video dg total ukuran 3GB ke flash disk, kecepatannya 30-40 MB/s, cuma masalahnya kalo dipake agak lama, flash disknya jd panas, jd susah klo mo di cabut, tapi secara keseluruhan flash disknya cukup memuaskan, thanks",positif,kirim barang cepat pesan tanggal 21 tanggal 22 flash disknya bagus tes copy 3 video total ukur 3gb flash disk cepat 3040 manajemen bas sekolah pakai flash disknya panas susah pergi flash disknya muas terima kasih
"barangnya sampai tepat waktu, packingannya rapi, good da😄😄👍👍, dan juga dapat hadiah pulpen😁😁, mudah2an awet",positif,barang packingannya rapi good da hadiah pulpen mudah mudah awet
"الحمد لله, Barang sudah sampai dengan selamat. Semoga Awet. Terimakasih kepada penjual dan juga Lazada 😊",positif,barang selamat moga awet terima kasih jual lazada
"barangnya bgs sesuai pesanan, thx lzd",positif,barang bagus sesuai pesan terima kasih lzd
kiriman aman dan cepat. bayar ditempat. Alhamdulillah pas dilemari. OKe,positif,kirim aman cepat bayar alhamdulillah pas lemari oke
"mantab, terima kasih banyak gan",positif,mantap terima kasih juragan
"Ini pembelian untuk ke 4x nya pastinya puas puas puas pengiriman juga cepat aman tidak ada masalah , netflix bisa di jalankan aplikasi aman, hooq aman TV digital Aman, wifi aman",positif,beli kali nya puas puas puas kirim cepat aman netflix jalan aplikasi aman hooq aman televisi digital aman wifi aman
Sdh smpek barngnya... Mdh2an awet,positif,barngnya mudah mudah awet
"bagus barangnya, lancar tranfer datanya",positif,bagus barang lancar tranfer data
sdh yang ke 2 saya beli ini dan semuanya berfungsi dengan baik dan lancar.. manteeeep,positif,2 beli fungsi lancar mantep
produk original. selama penggunaan tak ada masalah. bagus. harga bagus,positif,produk original bagus harga bagus
"Barang keren, Recomended.. Cocok untuk gaming sama desain grafis.. Packing Rapi, diluar perkiraan ternyata barang nyampe lebih cepat dr estimasi.. Seller ramah.. Tks Seller.. Tks Lazada..",positif,barang keren recomended cocok gaming desain grafis packing rapi nyata barang cepat estimasi seller ramah tks seller tks lazada
"pengiriman sangat cepat.. barang sampai 1 hari setelah pemesanan.. berfungsi dgn baik, semoga awet.. sejauh ini tidak ada masalah, semoga kedepannya jg sama.. terimakasih 😊",positif,kirim cepat barang 1 mesan fungsi moga awet moga terima kasih
"Alamdulillah sesuai harapan, barang bagus.",positif,alamdulillah sesuai harap barang bagus
"barang original, mantep cepet pengirimannya..",positif,barang original mantap cepat kirim
mantap benar sesuai dengan deskrepsi singkat barang,positif,mantap sesuai deskrepsi singkat barang
pertahankan terus kualitasnya.....,positif,tahan kualitas
"Dengan harga yang cukup murah tapi mendapat tv dgn kualitas cukup bagus, gambar full HD",positif,harga murah televisi kualitas bagus gambar full high definition
barang sesuai deskripsi,positif,barang sesuai deskripsi
"Sy pesan sabtu hari minggu sudah sampai, barangnya juga bagus",positif,pesan sabtu minggu barang bagus
"Alhamdulillah sampai dgn slmat, packing rapi + kayu mantap...",positif,alhamdulillah selamat packing rapi kayu mantap
"mantul,sesuai keinginan pengiriman cepat cuma sehari ke makassar",positif,mantulsesuai kirim cepat makassar
barang bagus sesuai hati ku,positif,barang bagus sesuai hati ku
"alhmdlh brg yg dikirim memuaskan, thx Kredivo N lazada bagi saya yg tidak mampu membeli Cash..",positif,alhmdlh barang kirim muas terima kasih kredivo lazada beli cash
dateng nya cepet jg ya.. dah sampe barang blum di tes semoga bagus hehe ga siap bayar COD wkwk nuhun ah,positif,nya cepat barang tes moga bagus hehe bayar cod wkwk terima kasih ah
USB sudah dicoba. Lumayan bagus. Kapasitas mendekati 64 GB. Keseluruhan OK.,positif,usb coba lumayan bagus kapasitas 64 gb oke
ini gmna sih mba tipi nya ga mau nyala. bisa di tukar ga kan masih gransi,positif,sih mbak televisi nya nyala tukar gransi
BARANG SUDAH SAYA TERIMA,positif,barang terima
gak usah mikir belih aja.buktinya saya,positif,pikir belih ajabuktinya
Barang yang diterima bagus dan ter packing dgn rapih. Thanks Lazada,positif,barang terima bagus ter packing rapi terima kasih lazada
"alhamdulillah tv diterima dalam kondisi baik, tidak ada cacat atau kerusakan. barang datang hanya 2 hari setelah pemesananan. terima kasih!",positif,alhamdulillah televisi terima kondisi cacat rusa barang 2 pemesananan terima kasih
"real pict no tipu2, mudah2an tahan lama.",positif,real gambar no tipu tipu mudah mudah tahan
sangat baik walau aktual size diukur komputer sisanya tinggal 28 lebih giga.,positif,aktual size ukur komputer sisa tinggal 28 giga
terimakasih barang sesuai spesifikasi🙏,positif,terima kasih barang sesuai spesifikasi
pengiriman cepat ... barangnya mantap sesuai harga lah,positif,kirim cepat barang mantap sesuai harga
Barang Original Mantap Jiwa,positif,barang original mantap jiwa
Bagus banget nih tv nya,positif,bagus banget nih televisi nya
baru di tes..,positif,tes
semoga awet biar bs bli lg,positif,moga awet biar beli
Alhamdulillah barang sudah dibuka dan bagus ga ada cacat,positif,alhamdulillah barang buka bagus cacat
UGREEN sesuai Diskripsi & begitu tes lancar... conect & transfer data oke. thanks Lazada & Seller mantab pokoknya,positif,ugreen sesuai skripsi tes lancar conect transfer data oke terima kasih lazada seller mantap pokok
"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",positif,minat orderpesan barang kamisilahkan add whatsappwa085200343400langsung reseller tokoterimah kasih
pengiriman cepat.tapi remot mati tidak berfungsi.sementara pakai remat hp.Cara saya claim waranty remot baaimana ya  bpk / ibu admin. mojo,positif,kirim cepattapi remot mati berfungsisementara pakai rat hpcara klaim waranty remot baaimana admin mojo
Mantapppp barang nya,positif,mantap barang nya
Dapat email barang sudah di TERIMA padahal hingga kini belum ada di tangan. Cek via jne. Sdh di terima.. Siapa yg terima.. Padahal sangat di butuhkan. Lebih baik Pesanan Bayar di Tempat. Mana tempat pengiriman asal Aceh lagi...,positif,email barang terima tangan cek via jne terima terima butuh pesan bayar kirim aceh
semoga awetttt....terima kasih lazada terima kasih coocaa,positif,moga aweterima kasih lazada terima kasih coocaa
paket sudah sampai,positif,paket
"Packing mantap, product mantap, sip.",positif,packing mantap produk mantap sip
barang sudah di terima. cepat sampai semoga awet.trima kasih,positif,barang terima cepat moga awettrima kasih
"Alhamdulillah,paket sudah diterima dan aman cukup lama menunggu pesan tgl 13 tiba di Luwuk Banggai tgl 27... kardus sedikit lecet tapi isinya aman... berfungsi dengan baik thanks Lazada.",positif,alhamdulillahpaket terima aman tunggu pesan tanggal 13 luwuk bangga tanggal 27 kardus lecet isi aman fungsi terima kasih lazada
Terimakasih Lazada,positif,terima kasih lazada
barang udah saya terima Peking rapih terimakasih Lazada,positif,barang terima peking rapi terima kasih lazada
untuk pemakaian darurat lumayan bisa bantu..nyalain sebatang mah,positif,pakai darurat lumayan bantunyalain batang
"keren, packaging bagus, pengiriman cepat",positif,keren packaging bagus kirim cepat
Mantap jiwa.. Gambarnya Perfect.  Pengirimannya cepat. Dpt harga flash sale lazada. Tv digital 32 inchi termurah SE Indonesia...,positif,mantap jiwa gambar perfect kirim cepat harga flash sale lazada televisi digital 32 inchi murah indonesia
Barang sesuai pesanan..packing rapi Ada plastik gelembung udarany membuat barang lebih aman..pengiriman cepat..brang ok dicoba langsung connect..good,positif,barang sesuai pesananpacking rapi plastik gelembung udarany barang amanpengiriman cepatbrang oke coba langsung connectgood
"paket sudah mendarat dengan selamat..kualitas dan harga produk baik..packing aman walaupun cuma pake bubble warp,TVnya keren,alhamdulillah aman gaada kendala youtube,internet,netflix,screen mirroring dll berfungsi dengan baik👍untuk yg nanya invoice atau kartu garansi?invoicenya bakal dikirim lewat email 3hari setalah barang diterima dan untuk kartu garansinya sendri ada di buku panduan halaman paling terakhir👍Overall puaslah untuk semuanya👌Thx Lazada Samsung and Ninja VAN👍😁",positif,paket darat selamatkualitas harga produk baikpacking aman pakai bubble warptvnya kerenalhamdulillah aman kendala youtubeinternetnetflixscreen mirroring fungsi invoice kartu garansiinvoicenya kirim email 3hari seta barang terima kartu garansi buku pandu halaman overall puas thx lazada samsung and ninja van
Udh trina dgn rapi,positif,trina rapi
Packing oke..barang juga ori.. Pesan senin..rabu udang dtang..bayar ditempat gratis tanpa ongkir.. Gak bosen2 beli barang di lazada..pokoknya good job lazada,positif,packing okebarang orisinal pesan seninrabu udang dtangbayar gratis ongkos kirim bosan bosan beli barang lazadapokoknya good job lazada
"Barangnya bgs dan sesuai, kecepatannya bikin happy, tp satu catatan buruk PT ECART, jangan kirim pakek kurir Ninja van gak jelas, barang saya Fitty tidak sampai di tempat 😠😠😠",positif,barang bagus sesuai cepat bikin happy catat buruk pt ecart kirim pakai kurir ninja van barang fitty
"Produk baik, gambar dan suara normal, semua berfungsi dengan bagus.",positif,produk gambar suara normal fungsi bagus
"Pengiriman cepat, 3 hari. Packing rapi (packing kayu ber asuransi). Kualitas barang juga oke. Wifi bekerja dengan baik. Gk nyesal deh pokok nya",positif,kirim cepat 3 packing rapi packing kayu ber asuransi kualitas barang oke wifi kerja sesal deh pokok nya
sesuai pesanan,positif,sesuai pesan
"Barang cepat sampai , packing rapi ,. Pokok ny memuaskan ... Trima kaih lazada",positif,barang cepat packing rapi pokok nya muas terima kaih lazada
oke.. mantabs  cepet sampe,positif,oke mantap cepat
"3 hari terkirim ke Semarang.. Kurir Ninja sabar, dan ramah.. Meski g dipacking kayu, kemasan aman g tergores, barang pun mulus.. Langsung dicoba, hasilnya: kualitas bagus, pengoperasian user friendly, gambar HDR, suara dolby mantab utk kelas LED TV, wifi lancar, mirroring sangat mudah, source bisa analog/dvb-t2/satelit/hdmi/wifi/lan, meskipun gak android tv tapi oke lah pakai os bawaan coocaa.. Secara fisik, bevel atas & samping sangat tipis, tp ketika dihidupkan, didalam screen msh ada bevelnya sktr 1cm.. Channel yg didapat, analog 17 ch, digital 8 ch. Smart TV 32 inch, dgn harga 2,2jt.. Recommended",positif,3 kirim semarang kurir ninja sabar ramah bungkus kayu kemas aman gores barang mulus langsung coba hasil kualitas bagus operasi friendly gambar hdr suara dolby mantap kelas led televisi wifi lancar mirroring mudah source analogdvbt2satelithdmiwifilan android televisi oke pakai os bawa coocaa fisik bevel samping tipis hidup screen bevelnya 1cm channel analog 17 chapter digital 8 chapter pintar televisi 32 inch harga 22jt recommended
barang sdh diterima n msh tersegel rapi tp blm dicoba.... mksh lazada,positif,barang terima segel rapi coba terima kasih lazada
"Keren TV androidnya, bener2 smart TV sampe2 remote pun bs pake android/iphone tgl download apps nya aja.. the real smart tv",positif,keren televisi androidnya pintar televisi remote pakai androidiphone tanggal unduh apps nya the real pintar televisi
"mantap, murah, berfungsi dengan baik",positif,mantap murah fungsi
Barangnya mantap bagus simpel semoga tahan lama dan sukses selalu Ridista Online dan Lazada,positif,barang mantap bagus simpel moga tahan sukses ridista online lazada
"Barang sudah datang barangnya bagus, pengiriman lewat LEX cepet. Terima kasih Lazada",positif,barang barang bagus kirim lex cepat terima kasih lazada
"Excellent, sangat bagus dan kinerja yang cepat untuk operasi-operasi kerja yang berat.",positif,excellent bagus kerja cepat operasioperasi kerja berat
"Bagus, barang oke dan banyak bonus ny 😊",positif,bagus barang oke bonus nya
barang ok,positif,barang oke
Belum dicoba sih. Tapi Bagus Ori dan packing baik,positif,coba sih bagus orisinal packing
produk mantap punya mantul deh,positif,produk mantap mantap deh
Paketnya sudah sampai ya.. kemarin po eh besok paginya langsung nyampe.. fast response banget.. thx lazada,positif,paket kemarin po eh besok pagi langsung fast response banget terima kasih lazada
"Barangx ok,n packing rapi",positif,barangx okn packing rapi
"Barangnya sampai dengan Selamat, Packingnya lumayan & barangnya berfungsi sesuai yg diharapkan,, mantap 👍",positif,barang selamat packingnya lumayan barang fungsi sesuai harap mantap
udah di terima tapi bingung cara cari tv manualnya gimana 😭bingung.ko jaringan tidak tersedia trus ya,positif,terima bingung cari televisi manual bingungko jaring sedia
good superr,positif,good super
bagus.sesuai harapan.packing aman.cuman sayang beberapa harinya di lazada ada promo lagi dgn barang yg sama dan lebih murah 300rb lg.smoga awet.belum di check sambungan USB nya .Krn belum ngerti caranya.,positif,bagussesuai harapanpacking amancuman sayang lazada promo barang murah 300rb lgsmoga awetbelum check sambung usb nya erti
Barang oke,positif,barang oke
"pengiriman cepat , Size bsar harga murah pula 😋 ... kwalitas barang lumayan ok .... 😃 dapet promo lagi",positif,kirim cepat size bsar harga murah kualitas barang lumayan oke promo
"Barang datang sesuai pesanan, dan sesuai estimasi. seller juga fast respon, thankz.",positif,barang sesuai pesan sesuai estimasi seller fast respon thankz
tv bagus harga murah,positif,televisi bagus harga murah
mntap tvnya.... tipis bgt kga makan tepat laah pkoknya,positif,mntap televisi tipis banget makan pokok
"paket cepat, bagus  bapak suka",positif,paket cepat bagus suka
barang sudah nyampe .. tapi belom dicoba. semoga awet biar langganan terus disini,positif,barang coba moga awet biar langgan
puas buanget blnja d lazada,positif,puas banget belanja lazada
"mantap, brg ori, murah lg",positif,mantap barang orisinal murah
barangnya oke beli sudah dr smnggu lalu tp bru review skalian mau ngetes pengiriman jg cpt walau nga pake packing kayu tp sofar puas thankyou,positif,barang oke beli smnggu review ketes kirim cepat pakai packing kayu sofar puas thankyou
"tv nya bagus bukan kaleng""",positif,televisi nya bagus kaleng
barang sampe dgn selamat tak ada yg kurang...baik 100%,positif,barang selamat kurangbaik 100
"Bagus ko flashdisknya tapi seribu sangat di sayangkan, dari pihak kurir G**** Bangeeet salah kirim ke rumah temen, untung kalo temen ngasih kalo ega yakan ??? flashdisknya berfungsi free space 29.4 GB speed copy 16MB/second",positif,bagus flashdisknya ribu sayang kurir banget salah kirim rumah teman untung teman ega iya flashdisknya fungsi free space 294 gb speed copy 16mbsecond
berfungsi dengan baik ....mantap,positif,fungsi mantap
"mantap jiwa belanja disini. cepet bgt respon nya, pengiriman nya, barang di pakein bublewrap pula. padahal ane pesen di weekend. recomended bgt dah. oya barang nya juga ok transfer data nya cepet",positif,mantap jiwa belanja cepat banget respon nya kirim nya barang pakein bublewrap pesan pekan recomended banget barang nya oke transfer data nya cepat
"barang ok, pengiriman cepat",positif,barang oke kirim cepat
good working... langsung bisa d isi file video n musik buat anak2 saya... anak2 jadi senwng dech... makasi seller n Lazada..,positif,good working langsung isi file video musik anak anak anak anak senwng deh terima kasih seller lazada
"Thanks yah seller ak puas bgt beli siang, malemnya sampe trs dipasangin jg, sukses trs.",positif,terima kasih seller puas banget beli siang malemnya pasang sukses
"barang smpai dgn selamt,pecking aman.barang mulus,cma mngkin pengaruh gv kabel. makanya siaran kurang bagus.. mksih. good",positif,barang selamtpecking amanbarang muluscma pengaruh gv kabel siar bagus terima kasih good
sudah trima bagus sangat puas saya mau order lagi,positif,terima bagus puas order
Kualitas produk yg prima. Pelayanan cepat. Harga bersahabat.,positif,kualitas produk prima layan cepat harga sahabat
Mantaaaaap selalu,positif,mantap
barangnya masi awet,positif,barang awet
"packing cukup rapih, sesuai estimasi dan ekspektasi",positif,packing rapi sesuai estimasi ekspektasi
recomonded bgttt,positif,recomonded banget
"Barang berfungsi dengan baik, maaf telat ulasanya ya....",positif,barang fungsi maaf telat ulas
"Sip alhamdulillah diterima dg kondisi baik mski hanya packing buble wrap tp kondisi baik . Sdh dicoba bagus nyala dg sukses , gambar bagus (tergantung lokasi dan jenis antene yg dipake). Terimakasih lazada. Oh ya pengiriman cpt 2hr nyampe.",positif,sip alhamdulillah terima kondisi packing buble wrap kondisi coba bagus nyala sukses gambar bagus gantung lokasi jenis antene pakai terima kasih lazada kirim cepat 2hr
ninja top dah. cuma dua hari paket tipi nya sampe di tangan buyer. lanjutkan pelayanan prima nya y NINJA thanks,positif,ninja top paket televisi nya tangan buyer layan prima nya iya ninja terima kasih
mantaaappp terima kasih Lazadaaa 🙏🙏🙏,positif,mantap terima kasih lazada
bagus jernih,positif,bagus jernih
"puas banget belanja di toko ini , walau order malem tapi orderan tetap di proses dan di kirim 👌👍💪",positif,puas banget belanja toko order malam order proses kirim
barang sampai sesuai jadwal,positif,barang sesuai jadwal
"Pengiriman barangnya sangat cepat, mudah""an barangnya bagus sesuai deskripsi.",positif,kirim barang cepat mudah barang bagus sesuai deskripsi
mav baru kasi ulasan alhamdulillah tv mendarat dengan selamat bagus sama ama yg dicantumkan kode tpe'y somoga awet,positif,mav kasih ulas alhamdulillah televisi darat selamat bagus cantum kode tpey somoga awet
terima kasih yaaaaaaaa,positif,terima kasih
Proses pengirim cepat banget dan produk memang asli :),positif,proses kirim cepat banget produk asli
Mantab om...,positif,mantap om
mantebbb.. pengiriman cepat barang mulus.. berfungsi dgn baik,positif,manteb kirim cepat barang mulus fungsi
"Sesuai deskripsi dan ekspektasi.., produk yang sangat murah dan berkualitas",positif,sesuai deskripsi ekspektasi produk murah kualitas
"terima kasih ka,barangnya cakep",positif,terima kasih kabarangnya cakap
"trima kasih  lazada, dah sesuai dengan diskripsi barangnya bagus  bangettt......",positif,terima kasih lazada sesuai skripsi barang bagus banget
"Barang sesuai dengan gambar dan spekny, cm waktu pengiriman lama dan melebihi jadwal waktu estimasi.",positif,barang sesuai gambar spekny kirim jadwal estimasi
trimksh... prosesnya cepat dan barang datangnya juga bagus.... packingan juga rapi banget.... saya suka.   thx Lazada,positif,trimksh proses cepat barang bagus packingan rapi banget suka terima kasih lazada
"Bagi Yang Minat Order/Pesan Barang Kami,Silahkan Add WhatsApp/WA.085200343400..Langsung Dari Reseller Toko..Terimah Kasih.",positif,minat orderpesan barang kamisilahkan add whatsappwa085200343400langsung reseller tokoterimah kasih
datang lebih cepat... semua dalam keadaan normal,positif,cepat normal
"alhamdulillah tv led coocaa 2 unit  sudah mendarat dengan selamat di kota pemalang semoga tv nya awet trimakasih seller coocaa,lazada & kurirnya semoga makin jaya & sukses  matursuwun",positif,alhamdulillah televisi led coocaa 2 unit darat selamat kota malang moga televisi nya awet terima kasih seller coocaalazada kurir moga jaya sukses matursuwun
pengiriman cepat dan packing savety,positif,kirim cepat packing savety
"barang bagus, cuma kualitas suaranya lumayan..sesuai hargalah",positif,barang bagus kualitas suara lumayansesuai harga
Mantab... tingkatkan terus pelayanannya,positif,mantap tingkat layan
top banget pokoknya,positif,top banget pokok
"Barang sesuai orderan, packaging rapi dan aman, barang real ORI dan tersegel dari ASUS 👍🏻",positif,barang sesuai order packaging rapi aman barang real orisinal segel asus
"mantap baru in TV bisa you tube sama nonto tv luar dan film bioskop,,,pengiriman cepat cuman 1 hari hari",positif,mantap in televisi tube nonto televisi film bioskoppengiriman cepat 1
"Sama seperti ulasan sebelumnya. barangnya cepat sampainya, sebelum tgl yg tertera. packingnya rapih. barangnya juga masih dlm keadaan disegel. Thx,  atas pelayanannya :-))",positif,ulas barang cepat tanggal tera packingnya rapi barang segel terima kasih layan
"brg bagus , sesuai gambar..mntab",positif,barang bagus sesuai gambarmntab
produk asli,positif,produk asli
"Barangnya bagus dan berfungsi dengan baik. Yang paling saya suka adalah pengiriman barangnya, sangat cepat dan kurir dari Ninja sangat ramah dan responsif, bahkan rela diantar pkl 22.15. Mungkin karena pengiriman di JKT jadi hanya dibungkus plastik bubble saja, tapi kurirnya cukup hati2 dlm membawa barang, jadi aman. Untuk free berlangganan Iflix dan Hooq kapan ya dikirim untuk vouchernya? overall semuanya oke dan puas. Thanks untuk Lazada, Xiaomi dan NinjaVanID.",positif,barang bagus fungsi suka kirim barang cepat kurir ninja ramah responsif rela 2215 kirim jakarta bungkus plastik bubble kurir hati hati bawa barang aman free langgan iflix hooq kirim vouchernya overall oke puas terima kasih lazada xiaomi ninjavanid
"sesuai dengan gambar, pengiriman ok cepat",positif,sesuai gambar kirim oke cepat
